Matriz de trazabilidad de requisitos,,,,,,,
,,,,,,,
,,,,,,,
ID DE PROYECTO,NOMBRE PROYECTO,,PREPARADO POR,,FECHA,COD DOCUMENTACION,
5,TrimIA,,"Albornoz Melisa, Berrondo Milagros",,28/05/2026,,
,,,,,,,
Identificación,Descripción del requisito,Criterios de aceptación relacionados,Interesado (Stakeholder) dueño del requisito,Entregable ,"Nivel de prioridad (alto, medio, bajo)",Validación (quién aprueba el mismo),Objetivo relacionado
RF01,"El sistema deberá permitir responder consultas operativas relacionadas con stock,solicitud de venta financiada y procedimientos internos.","- El usuario podrá enviar consultas desde la web o WhatsApp.
- El sistema responderá en menos de 15 segundos. 
- Las respuestas deberán provenir de la base de conocimiento cargada.
- Si no existe respuesta, el sistema derivará automáticamente la consulta.","Vendedores
Empleados de depósito
Supervisores
Dueño","E7- Integraciones y Flujos de Trabajo - 
E2- Núcleo Conversacional - 
E3- Base de Conocimiento 
Dinámica (Motor RAG) 
",Baja,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-6
OE-7
OE-8
"
RF02,El agente orquestador deberá clasificar automáticamente cada interacción y derivarla al agente correspondiente.,"- El sistema identificará correctamente el área de la consulta.
- Las consultas comerciales serán enviadas al agente de ventas.
- Las consultas financieras serán derivadas al agente de cobranzas.
- Las consultas de envíos y entregas serán derivadas al agente de logística. 
- Las consultas sobre stock, almacenamiento e inventario seran derivadas al agente de depósito.
- Las consultas sobre facturación, documentación y gestión interna serán derivadas al agente administrativo.","Supervisores
Dueño 
Vendedores
Área administrativa","E2- Núcleo Conversacional

",Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-7
OE-8"
RF03,El sistema deberá realizar seguimientos automáticos a clientes potenciales que no concretaron una venta.,"- El sistema registrará automáticamente cada cliente potencial.
- El historial de interacción quedará almacenado.","Vendedores 
Supervisores comerciales
Credimisión S.R.L.","E7- Integraciones y Flujos de Trabajo -
E2- Núcleo Conversacional 
",Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-1
OE-2"
RF04,"
El sistema deberá automatizar recordatorios y seguimientos de cuotas pendientes.","- El sistema deberá enviar recordatorios automáticos antes de la fecha de vencimiento de cada cuota.
- Los recordatorios deberán poder configurarse en diferentes momentos:
   - 7 días antes.
   - 3 días antes.
   - el mismo día del vencimiento.
- El historial de mensajes quedará registrado.
- El agente deberá poder consultar información de cuotas pendientes desde el sistema integrado. La información mostrada deberá incluir:
   - monto adeudado.
   - cantidad de cuotas vencidas.
   - fecha de vencimiento.
   - estado del cliente.
- Las comunicaciones deberán realizarse vía WhatsApp.                                                                                                            
- El sistema deberá permitir recibir comprobantes enviados por WhatsApp.
- Los comprobantes deberán quedar asociados al cliente correspondiente.                                                                         
- Las nuevas respuestas deberán reutilizar conocimiento previamente validado. 
- El sistema deberá verificar si la cuota ya fue abonada antes de continuar enviando recordatorios.
- Si el pago fue registrado, el flujo de cobranza deberá finalizar automáticamente.","Área administrativa
Responsables de cobranzas
Dueño 
Clientes con cuotas pendientes","E6 — Módulos de Cobranzas y Capacitación  - 
E7- Integraciones y Flujos de Trabajo -      ",Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-4
OE-9
OE-11
"
RF05,"La plataforma deberá asistir a nuevos empleados mediante capacitación que tendrá incluida materiales, gestor de consultas, seguimiento de procesos y simulación activa.","- El usuario podrá consultar procedimientos operativos.
- El sistema mostrará respuestas paso a paso.
- El empleado podrá acceder al contenido según su rol.
- El empleado podrá consultar el contenido en formato de audio, pdf o video.","Nuevos empleados
Vendedores
Supervisores
Dueño",E6 — Módulos de Cobranzas y Capacitación        ,Media,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-3
OE-6
"
RF06,"Los supervisores deben poder cargar documentos, manuales, protocolos, audios y procedimientos mediante una interfaz de administración intuitiva, construyendo una base de conocimiento dinámica que retroalimenta automáticamente con consultas no resueltas.
","- El sistema deberá permitir al supervisor cargar contenido multimedia.
- Las consultas no resueltas quedan registradas automáticamente como insumos para actualizar la base.","Supervisores
Dueño ","E3- Base de Conocimiento 
Dinámica (Motor RAG)  -
E4- Panel Web de Gobernanza y Supervisión



",Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-3
OE-5
OE-6"
RF07,"El sistema debe ser accesible tanto desde una interfaz web propia como desde WhatsApp Business, permitiendo a empleados realizar consultas operativas en tiempo real desde ambos canales.","- Las interacciones por WhatsApp responden en menos de 15 segundos en condiciones normales.
- Ambos canales comparten el mismo historial de conversación.","Vendedores
Empleados de depósito
Área administrativa
Supervisores","E2- Núcleo Conversacional / 
E4- Panel Web de Gobernanza y Supervisión



",Alta,"Credimision S.R.L
Albornoz Melisa 
Armas Mauro
Bazan Agustina
Berrondo Milagros","OE-6
OE-8"
